row_id,pokemon_id,pokemon_en,pokemon_ja,wiki_page_name,wiki_page_url,role,range,damage_type,skill_slot,move_stage,move_en,move_ja,parent_move_en,parent_move_ja,source_object,ratio_component,effect_label,ratio_percent,stat_type,level_scaling,base_value,formula_en,formula_ja,exception,alert,true_description,notes,rsb_info,move_type,cooldown,upgrade_level_1,upgrade_level_2,unite_energy,unite_buffs,unite_buff_duration
1,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Passive,passive,Super Luck,きょううん,,,rsb,base,,,,,,,,,,This Pokémon's critical-hit rate is increased by an additional 15%.,,,,,,,,,
2,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Passive,passive,Super Luck,きょううん,,,rsb,add1,,,,,,,,,,,,,,,,,,,
3,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Passive,passive,Super Luck,きょううん,,,rsb,add2,,,,,,,,,,,,,,,,,,,
4,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Passive,passive,Super Luck,きょううん,,,rsb,add3,,,,,,,,,,,,,,,,,,,
5,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Passive,passive,Super Luck,きょううん,,,rsb,add4,,,,,,,,,,,,,,,,,,,
6,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Passive,passive,Super Luck,きょううん,,,rsb,add5,,,,,,,,,,,,,,,,,,,
7,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Passive,passive,Super Luck,きょううん,,,rsb,enhanced,,,,,,,,,,,,,,,,,,,
8,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Passive,passive,Super Luck,きょううん,,,rsb,enhanced_add1,,,,,,,,,,,,,,,,,,,
9,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Passive,passive,Super Luck,きょううん,,,rsb,enhanced_add2,,,,,,,,,,,,,,,,,,,
10,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Passive,passive,Super Luck,きょううん,,,rsb,enhanced_add3,,,,,,,,,,,,,,,,,,,
11,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Passive,passive,Super Luck,きょううん,,,rsb,enhanced_add4,,,,,,,,,,,,,,,,,,,
12,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Passive,passive,Super Luck,きょううん,,,rsb,enhanced_add5,,,,,,,,,,,,,,,,,,,
13,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,rsb,base,Damage - Basic,100,Atk,,,100% Atk,攻撃 x 100%,,,"Becomes a boosted attack with every third attack, and decreasing their Defense by 15% for 2s when the attack hits. If this boosted attack hits only a single target, it deals bonus damage.",,,,,,,,,
14,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,rsb,add1,,,,,,,,,,,,,,,,,,,
15,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,rsb,add2,,,,,,,,,,,,,,,,,,,
16,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,rsb,add3,,,,,,,,,,,,,,,,,,,
17,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,rsb,add4,,,,,,,,,,,,,,,,,,,
18,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,rsb,add5,,,,,,,,,,,,,,,,,,,
19,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,rsb,enhanced,,,,,,,,,,,,,,,,,,,
20,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,rsb,enhanced_add1,,,,,,,,,,,,,,,,,,,
21,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,rsb,enhanced_add2,,,,,,,,,,,,,,,,,,,
22,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,rsb,enhanced_add3,,,,,,,,,,,,,,,,,,,
23,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,rsb,enhanced_add4,,,,,,,,,,,,,,,,,,,
24,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,rsb,enhanced_add5,,,,,,,,,,,,,,,,,,,
25,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,boosted_rsb,base,Damage - Boosted,51,Atk,5,100,51% Atk + 5 * (Level - 1) + 100,攻撃 x 51% + 5 x (レベル - 1) + 100,,,,,,,,,,,,
26,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,boosted_rsb,add1,Damage - Single Target Bonus,37.5,Atk,1,20,37.5% Atk + 1 * (Level - 1) + 20,攻撃 x 37.5% + 1 x (レベル - 1) + 20,,,,,,,,,,,,
27,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,boosted_rsb,add2,,,,,,,,,,,,,,,,,,,
28,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,boosted_rsb,add3,,,,,,,,,,,,,,,,,,,
29,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,boosted_rsb,add4,,,,,,,,,,,,,,,,,,,
30,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,boosted_rsb,add5,,,,,,,,,,,,,,,,,,,
31,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,boosted_rsb,enhanced,,,,,,,,,,,,,,,,,,,
32,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,boosted_rsb,enhanced_add1,,,,,,,,,,,,,,,,,,,
33,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,boosted_rsb,enhanced_add2,,,,,,,,,,,,,,,,,,,
34,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,boosted_rsb,enhanced_add3,,,,,,,,,,,,,,,,,,,
35,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,boosted_rsb,enhanced_add4,,,,,,,,,,,,,,,,,,,
36,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Basic,basic,Attack,通常攻撃,,,boosted_rsb,enhanced_add5,,,,,,,,,,,,,,,,,,,
37,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,base,Feint,フェイント,,,rsb,base,Damage,66,Atk,7,130,66% Atk + 7 * (Level - 1) + 130,攻撃 x 66% + 7 x (レベル - 1) + 130,,,"The user dashes in an arc forward, damaging Pokémon in the path and increasing the user's basic attack speed by 60% for 0.5s when this move hits. This move ignores the Defense and shield effects of Pokémon hit.",Each use alternates between a rightward and leftward arc.,,Dash,8,,,,,
38,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,base,Feint,フェイント,,,rsb,add1,,,,,,,,,,,,,Dash,8,,,,,
39,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,base,Feint,フェイント,,,rsb,add2,,,,,,,,,,,,,Dash,8,,,,,
40,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,base,Feint,フェイント,,,rsb,add3,,,,,,,,,,,,,Dash,8,,,,,
41,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,base,Feint,フェイント,,,rsb,add4,,,,,,,,,,,,,Dash,8,,,,,
42,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,base,Feint,フェイント,,,rsb,add5,,,,,,,,,,,,,Dash,8,,,,,
43,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,base,Feint,フェイント,,,rsb,enhanced,,,,,,,,,,,,,Dash,8,,,,,
44,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,base,Feint,フェイント,,,rsb,enhanced_add1,,,,,,,,,,,,,Dash,8,,,,,
45,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,base,Feint,フェイント,,,rsb,enhanced_add2,,,,,,,,,,,,,Dash,8,,,,,
46,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,base,Feint,フェイント,,,rsb,enhanced_add3,,,,,,,,,,,,,Dash,8,,,,,
47,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,base,Feint,フェイント,,,rsb,enhanced_add4,,,,,,,,,,,,,Dash,8,,,,,
48,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,base,Feint,フェイント,,,rsb,enhanced_add5,,,,,,,,,,,,,Dash,8,,,,,
